genome_drug.genome_name	genome_drug.genome_id	genome_drug.antibiotic	genome_drug.measurement_sign	genome_drug.measurement_value	genome_drug.measurement_unit	genome_drug.resistant_phenotype	genome_drug.laboratory_typing_platform
Escherichia coli strain M27	562.42782	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 136	562.42637	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 137	562.42638	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 138	562.42639	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 144	562.42645	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 145	562.42646	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 155	562.42652	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 163	562.42658	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 166	562.42661	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 170	562.42663	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 190	562.42665	piperacillin/tazobactam	>=	128/4	mg/L	Resistant	Vitek
Escherichia coli strain M29	562.42783	piperacillin/tazobactam	==	8/4	mg/L	Susceptible	Vitek
Escherichia coli strain M32	562.42787	piperacillin/tazobactam	==	8/4	mg/L	Susceptible	Vitek
Escherichia coli strain M34	562.42789	piperacillin/tazobactam	==	8/4	mg/L	Susceptible	Vitek
Escherichia coli strain M36	562.42791	piperacillin/tazobactam	==	8/4	mg/L	Susceptible	Vitek
Escherichia coli strain MUGSI_13	562.42822	piperacillin/tazobactam	>	128/4	mg/L	Resistant	
Escherichia coli strain MUGSI_278	562.42859	piperacillin/tazobactam	<=	16/4	mg/L	Susceptible	
Escherichia coli strain MUGSI_280	562.42860	piperacillin/tazobactam	<	8/4	mg/L	Susceptible	
Escherichia coli strain MUGSI_44	562.42866	piperacillin/tazobactam	>=	128/4	mg/L	Resistant	
Escherichia coli strain MUGSI_60	562.42869	piperacillin/tazobactam	==	64/4	mg/L	Intermediate	
Escherichia coli strain MUGSI_179	562.42834	piperacillin/tazobactam	>	128/4	mg/L	Resistant	
Escherichia coli strain MUGSI_123	562.42821	piperacillin/tazobactam	>	128/4	mg/L	Resistant	
Escherichia coli strain MUGSI_245	562.42847	piperacillin/tazobactam	<	4/4	mg/L	Susceptible	
Escherichia coli strain MUGSI_249	562.42850	piperacillin/tazobactam	<	8/4	mg/L	Susceptible	
Escherichia coli strain MUGSI_250	562.42852	piperacillin/tazobactam	<	4/4	mg/L	Susceptible	
Escherichia coli strain MUGSI_242	562.42844	piperacillin/tazobactam	<	4/4	mg/L	Susceptible	
Escherichia coli strain MUGSI_243	562.42845	piperacillin/tazobactam	<	4/4	mg/L	Susceptible	
Escherichia coli strain MUGSI_244	562.42846	piperacillin/tazobactam	>	128/4	mg/L	Resistant	
Escherichia coli strain MUGSI_148	562.42828	piperacillin/tazobactam	>	128/4	mg/L	Resistant	
Escherichia coli strain MUGSI_206	562.42837	piperacillin/tazobactam	<	4/4	mg/L	Susceptible	
Escherichia coli strain MUGSI_174	562.42833	piperacillin/tazobactam	>	128/4	mg/L	Resistant	
Escherichia coli strain MUGSI_217	562.42841	piperacillin/tazobactam	==	64/4	mg/L	Intermediate	
Escherichia coli strain MUGSI_162	562.42831	piperacillin/tazobactam	>	128/4	mg/L	Resistant	
Escherichia coli strain MUGSI_151	562.42829	piperacillin/tazobactam	>	128/4	mg/L	Resistant	
Escherichia coli strain M48	562.42807	piperacillin/tazobactam	==	8/4	mg/L	Susceptible	Vitek
Escherichia coli strain M50	562.42810	piperacillin/tazobactam	==	8/4	mg/L	Susceptible	Vitek
Escherichia coli strain M51	562.42811	piperacillin/tazobactam	==	8/4	mg/L	Susceptible	Vitek
Escherichia coli strain M42	562.42801	piperacillin/tazobactam	==	8/4	mg/L	Susceptible	Vitek
Escherichia coli strain M45	562.42805	piperacillin/tazobactam	==	8/4	mg/L	Susceptible	Vitek
Escherichia coli strain M47	562.42806	piperacillin/tazobactam	==	8/4	mg/L	Susceptible	Vitek
Escherichia coli strain 223	562.42680	piperacillin/tazobactam	>=	128/4	mg/L	Resistant	Vitek
Escherichia coli strain M44	562.42803	piperacillin/tazobactam	==	8/4	mg/L	Susceptible	Vitek
Escherichia coli strain 76	562.42753	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 236	562.42684	piperacillin/tazobactam	==	16/4	mg/L	Susceptible	Vitek
Escherichia coli strain 195	562.42667	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 196	562.42668	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 200	562.42672	piperacillin/tazobactam	==	8/4	mg/L	Susceptible	Vitek
Escherichia coli strain 205	562.42675	piperacillin/tazobactam	==	16/4	mg/L	Susceptible	Vitek
Escherichia coli strain 240	562.42687	piperacillin/tazobactam	>=	128/4	mg/L	Resistant	Vitek
Escherichia coli strain 241	562.42688	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 244	562.42690	piperacillin/tazobactam	==	64/4	mg/L	Intermediate	Vitek
Escherichia coli strain 245	562.42691	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 248	562.42692	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 257	562.42695	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 263	562.42699	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 265	562.42701	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 280	562.42703	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 282	562.42705	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 287	562.42709	piperacillin/tazobactam	>=	128/4	mg/L	Resistant	Vitek
Escherichia coli strain 325	562.42716	piperacillin/tazobactam	==	64/4	mg/L	Intermediate	Vitek
Escherichia coli strain 326	562.42717	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 327	562.42718	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 344	562.42722	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 410	562.42740	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 367	562.42726	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 368	562.42727	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 317	562.42713	piperacillin/tazobactam	==	8/4	mg/L	Susceptible	Vitek
Escherichia coli strain 318	562.42714	piperacillin/tazobactam	==	64/4	mg/L	Intermediate	Vitek
Escherichia coli strain 319	562.42715	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 406	562.42737	piperacillin/tazobactam	<=	4/4	mg/L	Susceptible	Vitek
Escherichia coli strain 475	562.42745	piperacillin/tazobactam	==	64/4	mg/L	Intermediate	Vitek
Escherichia coli strain 482	562.42749	piperacillin/tazobactam	==	64/4	mg/L	Intermediate	Vitek
Escherichia coli strain FDA-CDC-AR_0020	562.42761	trimethoprim/sulfamethoxazole	<=	0.25/4.75	mg/L	Susceptible	
Escherichia coli strain 85	562.42757	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	
Escherichia coli strain 84	562.42756	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	
Escherichia coli strain M1	562.42763	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain M2	562.42774	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain M5	562.42809	trimethoprim/sulfamethoxazole	<=	1/19	mg/L	Susceptible	Vitek
Escherichia coli strain M6	562.42816	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain M8	562.42818	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain M11	562.42765	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain M16	562.42770	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain M17	562.42771	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain M18	562.42772	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain M24	562.42779	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain M27	562.42782	trimethoprim/sulfamethoxazole	<=	1/19	mg/L	Susceptible	Vitek
Escherichia coli strain 134	562.42636	trimethoprim/sulfamethoxazole	<=	1/19	mg/L	Susceptible	Vitek
Escherichia coli strain 139	562.42640	trimethoprim/sulfamethoxazole	<=	1/19	mg/L	Susceptible	Vitek
Escherichia coli strain 141	562.42642	trimethoprim/sulfamethoxazole	<=	1/19	mg/L	Susceptible	Vitek
Escherichia coli strain 145	562.42646	trimethoprim/sulfamethoxazole	<=	1/19	mg/L	Susceptible	Vitek
Escherichia coli strain 153	562.42650	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain 154	562.42651	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain 163	562.42658	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain 166	562.42661	trimethoprim/sulfamethoxazole	<=	1/19	mg/L	Susceptible	Vitek
Escherichia coli strain 24	562.42686	trimethoprim/sulfamethoxazole	>	8/152	mg/L	Resistant	
Escherichia coli strain 172	562.42664	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain 149	562.42648	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain 190	562.42665	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain M29	562.42783	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain M32	562.42787	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain MUGSI_9	562.42871	trimethoprim/sulfamethoxazole	<	1/19	mg/L	Susceptible	
Escherichia coli strain MUGSI_14	562.42826	trimethoprim/sulfamethoxazole	<	0.5/9.5	mg/L	Susceptible	
Escherichia coli strain MUGSI_274	562.42857	trimethoprim/sulfamethoxazole	<	0.5/9.5	mg/L	Susceptible	
Escherichia coli strain MUGSI_25	562.42851	trimethoprim/sulfamethoxazole	<	0.25/4.75	mg/L	Susceptible	
Escherichia coli strain MUGSI_280	562.42860	trimethoprim/sulfamethoxazole	<	0.25/4.75	mg/L	Susceptible	
Escherichia coli strain MUGSI_44	562.42866	trimethoprim/sulfamethoxazole	<	0.25/4.75	mg/L	Susceptible	
Escherichia coli strain MUGSI_55	562.42868	trimethoprim/sulfamethoxazole	>	8/152	mg/L	Resistant	
Escherichia coli strain MUGSI_132	562.42823	trimethoprim/sulfamethoxazole	>	8/152	mg/L	Resistant	
Escherichia coli strain MUGSI_123	562.42821	trimethoprim/sulfamethoxazole	>	8/152	mg/L	Resistant	
Escherichia coli strain MUGSI_138	562.42825	trimethoprim/sulfamethoxazole	<	0.25/4.75	mg/L	Susceptible	
Escherichia coli strain MUGSI_245	562.42847	trimethoprim/sulfamethoxazole	>	8/152	mg/L	Resistant	
Escherichia coli strain MUGSI_93	562.42873	trimethoprim/sulfamethoxazole	>	8/152	mg/L	Resistant	
Escherichia coli strain MUGSI_243	562.42845	trimethoprim/sulfamethoxazole	<	0.5/9.5	mg/L	Susceptible	
Escherichia coli strain MUGSI_244	562.42846	trimethoprim/sulfamethoxazole	<	0.5/9.5	mg/L	Susceptible	
Escherichia coli strain MUGSI_255	562.42853	trimethoprim/sulfamethoxazole	>	8/152	mg/L	Resistant	
Escherichia coli strain MUGSI_147	562.42827	trimethoprim/sulfamethoxazole	<	0.5/9.5	mg/L	Susceptible	
Escherichia coli strain MUGSI_148	562.42828	trimethoprim/sulfamethoxazole	<	0.5/9.5	mg/L	Susceptible	
Escherichia coli strain MUGSI_258	562.42855	trimethoprim/sulfamethoxazole	>	8/152	mg/L	Resistant	
Escherichia coli strain MUGSI_154	562.42830	trimethoprim/sulfamethoxazole	<	0.5/9.5	mg/L	Susceptible	
Escherichia coli strain MUGSI_319	562.42865	trimethoprim/sulfamethoxazole	>	8/152	mg/L	Resistant	
Escherichia coli strain MUGSI_218	562.42842	trimethoprim/sulfamethoxazole	<	0.5/9.5	mg/L	Susceptible	
Escherichia coli strain MUGSI_162	562.42831	trimethoprim/sulfamethoxazole	>	8/152	mg/L	Resistant	
Escherichia coli strain MUGSI_151	562.42829	trimethoprim/sulfamethoxazole	<	0.5/9.5	mg/L	Susceptible	
Escherichia coli strain MUGSI_209	562.42838	trimethoprim/sulfamethoxazole	<	0.5/9.5	mg/L	Susceptible	
Escherichia coli strain MUGSI_210	562.42839	trimethoprim/sulfamethoxazole	<	0.5/9.5	mg/L	Susceptible	
Escherichia coli strain 219	562.42677	trimethoprim/sulfamethoxazole	<=	1/19	mg/L	Susceptible	Vitek
Escherichia coli strain 222	562.42679	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain M39	562.42796	trimethoprim/sulfamethoxazole	<=	1/19	mg/L	Susceptible	Vitek
Escherichia coli strain M40	562.42799	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain M53	562.42813	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain M54	562.42814	trimethoprim/sulfamethoxazole	<=	1/19	mg/L	Susceptible	Vitek
Escherichia coli strain 235	562.42683	trimethoprim/sulfamethoxazole	<=	1/19	mg/L	Susceptible	Vitek
Escherichia coli strain 195	562.42667	trimethoprim/sulfamethoxazole	<=	1/19	mg/L	Susceptible	Vitek
Escherichia coli strain 200	562.42672	trimethoprim/sulfamethoxazole	<=	1/19	mg/L	Susceptible	Vitek
Escherichia coli strain 240	562.42687	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain 244	562.42690	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain 258	562.42696	trimethoprim/sulfamethoxazole	<=	1/19	mg/L	Susceptible	Vitek
Escherichia coli strain 259	562.42697	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain 262	562.42698	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain 279	562.42702	trimethoprim/sulfamethoxazole	<=	1/19	mg/L	Susceptible	Vitek
Escherichia coli strain 282	562.42705	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain 283	562.42706	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain 71	562.42752	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain 326	562.42717	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain 343	562.42721	trimethoprim/sulfamethoxazole	<=	1/19	mg/L	Susceptible	Vitek
Escherichia coli strain 344	562.42722	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain 364	562.42725	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain 367	562.42726	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain 369	562.42728	trimethoprim/sulfamethoxazole	<=	1/19	mg/L	Susceptible	Vitek
Escherichia coli strain 309	562.42710	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain 318	562.42714	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain 319	562.42715	trimethoprim/sulfamethoxazole	<=	1/19	mg/L	Susceptible	Vitek
Escherichia coli strain 399	562.42733	trimethoprim/sulfamethoxazole	<=	1/19	mg/L	Susceptible	Vitek
Escherichia coli strain 407	562.42738	trimethoprim/sulfamethoxazole	<=	1/19	mg/L	Susceptible	Vitek
Escherichia coli strain 453	562.42742	trimethoprim/sulfamethoxazole	<=	1/19	mg/L	Susceptible	Vitek
Escherichia coli strain 467	562.42743	trimethoprim/sulfamethoxazole	<=	1/19	mg/L	Susceptible	Vitek
Escherichia coli strain 477	562.42746	trimethoprim/sulfamethoxazole	>=	16/304	mg/L	Resistant	Vitek
Escherichia coli strain 479	562.42748	trimethoprim/sulfamethoxazole	<=	1/19	mg/L	Susceptible	Vitek
Escherichia coli UCI 52	1438690.4	ampicillin	>=	32	mg/L		Vitek
Escherichia coli UCI 52	1438690.4	cefazolin	>=	8	mg/L		Vitek
Escherichia coli UCI 52	1438690.4	ceftazidime	==	16	mg/L		Vitek
Escherichia coli UCI 52	1438690.4	cephalothin	>=	64	mg/L		Vitek
Escherichia coli UCI 52	1438690.4	nitrofurantoin	==	32	mg/L		Vitek
Escherichia coli UCI 54	1438692.4	cefotaxime	>=	64	mg/L		Vitek
Escherichia coli UCI 54	1438692.4	ciprofloxacin	>=	4	mg/L		Vitek
Escherichia coli UCI 54	1438692.4	gentamicin	<=	1	mg/L		Vitek
Escherichia coli strain 8	562.42755	ampicillin	>=	32	mg/L	Susceptible	Vitek
Escherichia coli strain 8	562.42755	cefazolin	>=	64	mg/L	Resistant	Vitek
Escherichia coli strain 8	562.42755	gentamicin	<=	1	mg/L	Susceptible	Vitek
Escherichia coli strain 60	562.42751	cefepime	<=	1	mg/L	Susceptible	Vitek
Escherichia coli strain 60	562.42751	ceftazidime	<=	1	mg/L	Susceptible	Vitek
Escherichia coli strain 60	562.42751	meropenem	<=	0.25	mg/L	Susceptible	Vitek
Escherichia coli strain 60	562.42751	tetracycline	==	2	mg/L	Susceptible	Vitek
Escherichia coli strain FDA-CDC-AR_0020	562.42761	cefotaxime	<=	1	mg/L	Susceptible	
Escherichia coli strain FDA-CDC-AR_0020	562.42761	cefoxitin	==	16	mg/L	Intermediate	
Escherichia coli strain FDA-CDC-AR_0020	562.42761	ciprofloxacin	>	8	mg/L	Resistant	
Escherichia coli strain FDA-CDC-AR_0020	562.42761	ertapenem	<=	0.12	mg/L	Susceptible	
Escherichia coli strain FDA-CDC-AR_0020	562.42761	gentamicin	==	2	mg/L	Susceptible	
Escherichia coli strain FDA-CDC-AR_0020	562.42761	imipenem	==	1	mg/L	Susceptible	
Escherichia coli strain FDA-CDC-AR_0020	562.42761	polymyxin B	<=	0.5	mg/L		
Escherichia coli strain FDA-CDC-AR_0020	562.42761	tigecycline	<=	0.5	mg/L	Susceptible	
Escherichia coli strain FDA-CDC-AR_0020	562.42761	tobramycin	==	2	mg/L	Susceptible	
Escherichia coli strain FDA-CDC-AR_0084	562.42762	ceftazidime	==	16	mg/L	Resistant	
Escherichia coli strain FDA-CDC-AR_0084	562.42762	ciprofloxacin	>	8	mg/L	Resistant	
Escherichia coli strain FDA-CDC-AR_0084	562.42762	doripenem	<=	0.12	mg/L	Susceptible	
Escherichia coli strain FDA-CDC-AR_0084	562.42762	ertapenem	<=	0.12	mg/L	Susceptible	
Escherichia coli strain FDA-CDC-AR_0084	562.42762	imipenem	<=	0.5	mg/L	Susceptible	
Escherichia coli strain FDA-CDC-AR_0084	562.42762	polymyxin B	==	0.5	mg/L		
Escherichia coli strain FDA-CDC-AR_0084	562.42762	tobramycin	==	0.5	mg/L	Susceptible	
Escherichia coli strain 86	562.42758	amikacin	<=	2	mg/L	Susceptible	
Escherichia coli strain 86	562.42758	ampicillin	>=	32	mg/L	Resistant	
Escherichia coli strain 86	562.42758	cefoxitin	<=	1	mg/L	Susceptible	
Escherichia coli strain 86	562.42758	ceftriaxone	==	4	mg/L	Susceptible	
Escherichia coli strain 86	562.42758	nitrofurantoin	>=	8	mg/L	Resistant	
Escherichia coli strain 86	562.42758	tetracycline	<=	1	mg/L	Susceptible	
Escherichia coli strain 86	562.42758	tobramycin	<=	1	mg/L	Susceptible	
Escherichia coli strain 85	562.42757	cefoxitin	>=	64	mg/L	Resistant	
Escherichia coli strain 85	562.42757	ceftriaxone	==	16	mg/L	Resistant	
Escherichia coli strain 85	562.42757	levofloxacin	==	1	mg/L	Susceptible	
Escherichia coli strain 85	562.42757	meropenem	<=	0.25	mg/L	Susceptible	
Escherichia coli strain 84	562.42756	cefazolin	>=	64	mg/L	Resistant	
Escherichia coli strain 84	562.42756	ceftriaxone	>=	64	mg/L	Resistant	
Escherichia coli strain 84	562.42756	nitrofurantoin	==	32	mg/L	Susceptible	
Escherichia coli strain 84	562.42756	tobramycin	<=	1	mg/L	Susceptible	
Escherichia coli strain 78	562.42754	amikacin	<=	2	mg/L	Susceptible	
Escherichia coli strain 78	562.42754	ampicillin	>=	32	mg/L	Resistant	
Escherichia coli strain 78	562.42754	cefepime	<=	1	mg/L	Susceptible	
Escherichia coli strain 78	562.42754	levofloxacin	<=	0.12	mg/L	Susceptible	
Escherichia coli strain 78	562.42754	nitrofurantoin	<=	16	mg/L	Susceptible	
Escherichia coli strain 100	562.42634	amikacin	<=	2	mg/L	Susceptible	Vitek
Escherichia coli strain 100	562.42634	ampicillin	>=	32	mg/L	Resistant	Vitek
Escherichia coli strain 100	562.42634	levofloxacin	>=	8	mg/L	Resistant	Vitek
Escherichia coli strain 100	562.42634	tetracycline	>=	16	mg/L	Resistant	Vitek
Escherichia coli strain 100	562.42634	tobramycin	>=	16	mg/L	Resistant	Vitek
Escherichia coli strain M2	562.42774	ampicillin	>=	32	mg/L	Resistant	Vitek
Escherichia coli strain M2	562.42774	aztreonam	==	16	mg/L	Resistant	Vitek
Escherichia coli strain M2	562.42774	cefazolin	>=	64	mg/L	Resistant	Vitek
Escherichia coli strain M2	562.42774	ceftriaxone	>=	64	mg/L	Resistant	Vitek
Escherichia coli strain M2	562.42774	imipenem	<=	0.25	mg/L	Susceptible	Vitek
Escherichia coli strain M2	562.42774	meropenem	<=	0.25	mg/L	Susceptible	Vitek
Escherichia coli strain M3	562.42784	cefazolin	>=	64	mg/L	Resistant	Vitek
Escherichia coli strain M3	562.42784	cefepime	==	8	mg/L	Intermediate	Vitek
Escherichia coli strain M3	562.42784	ceftriaxone	>=	64	mg/L	Resistant	Vitek
Escherichia coli strain M4	562.42797	ciprofloxacin	>=	4	mg/L	Resistant	Vitek
Escherichia coli strain M4	562.42797	ertapenem	<=	0.5	mg/L	Susceptible	Vitek
Escherichia coli strain M4	562.42797	gentamicin	>=	16	mg/L	Resistant	Vitek
Escherichia coli strain M4	562.42797	meropenem	<=	0.25	mg/L	Susceptible	Vitek
Escherichia coli strain M5	562.42809	aztreonam	==	32	mg/L	Resistant	Vitek
Escherichia coli strain M5	562.42809	ertapenem	<=	0.5	mg/L	Susceptible	Vitek
Escherichia coli strain M5	562.42809	imipenem	<=	0.25	mg/L	Susceptible	Vitek
Escherichia coli strain M5	562.42809	levofloxacin	>=	8	mg/L	Resistant	Vitek
Escherichia coli strain M6	562.42816	cefazolin	>=	64	mg/L	Resistant	Vitek
Escherichia coli strain M6	562.42816	ertapenem	<=	0.5	mg/L	Susceptible	Vitek
Escherichia coli strain M6	562.42816	levofloxacin	>=	8	mg/L	Resistant	Vitek
Escherichia coli strain M7	562.42817	cefepime	==	8	mg/L	Intermediate	Vitek
Escherichia coli strain M7	562.42817	gentamicin	>=	16	mg/L	Resistant	Vitek
Escherichia coli strain M7	562.42817	levofloxacin	>=	8	mg/L	Resistant	Vitek
Escherichia coli strain M8	562.42818	ampicillin	>=	32	mg/L	Resistant	Vitek
Escherichia coli strain M8	562.42818	gentamicin	>=	16	mg/L	Resistant	Vitek
Escherichia coli strain M8	562.42818	levofloxacin	>=	8	mg/L	Resistant	Vitek
Escherichia coli strain M9	562.42819	ampicillin	>=	32	mg/L	Resistant	Vitek
Escherichia coli strain M9	562.42819	cefepime	==	2	mg/L	Susceptible	Vitek
Escherichia coli strain M9	562.42819	meropenem	<=	0.25	mg/L	Susceptible	Vitek
Escherichia coli strain M10	562.42764	amikacin	<=	2	mg/L	Susceptible	Vitek
Escherichia coli strain M10	562.42764	ampicillin	>=	32	mg/L	Resistant	Vitek
Escherichia coli strain M10	562.42764	ceftriaxone	>=	64	mg/L	Resistant	Vitek
Escherichia coli strain M10	562.42764	ertapenem	<=	0.5	mg/L	Susceptible	Vitek
Escherichia coli strain M10	562.42764	levofloxacin	>=	8	mg/L	Resistant	Vitek
Escherichia coli strain M10	562.42764	meropenem	<=	0.25	mg/L	Susceptible	Vitek
Escherichia coli strain M10	562.42764	tetracycline	>=	16	mg/L	Resistant	Vitek
Escherichia coli strain 108	562.42635	amikacin	>=	64	mg/L	Resistant	Vitek
Escherichia coli strain 108	562.42635	cefazolin	>=	64	mg/L	Resistant	Vitek
Escherichia coli strain 108	562.42635	cefoxitin	>=	64	mg/L	Resistant	Vitek
Escherichia coli strain 108	562.42635	ertapenem	>=	8	mg/L	Resistant	Vitek
Escherichia coli strain 108	562.42635	meropenem	==	8	mg/L	Resistant	Vitek
Escherichia coli strain M11	562.42765	ampicillin	>=	32	mg/L	Resistant	Vitek
Escherichia coli strain M11	562.42765	cefazolin	>=	64	mg/L	Resistant	Vitek
Escherichia coli strain M11	562.42765	cefepime	==	8	mg/L	Intermediate	Vitek
Escherichia coli strain M11	562.42765	meropenem	<=	0.25	mg/L	Susceptible	Vitek
Escherichia coli strain M12	562.42766	amikacin	<=	2	mg/L	Susceptible	Vitek
Escherichia coli strain M12	562.42766	aztreonam	==	16	mg/L	Resistant	Vitek
Escherichia coli strain M12	562.42766	cefazolin	>=	64	mg/L	Resistant	Vitek
Escherichia coli strain M12	562.42766	imipenem	<=	0.25	mg/L	Susceptible	Vitek
Escherichia coli strain M13	562.42767	aztreonam	>=	64	mg/L	Resistant	Vitek
Escherichia coli strain M13	562.42767	cefazolin	>=	64	mg/L	Resistant	Vitek
Escherichia coli strain M13	562.42767	ciprofloxacin	>=	4	mg/L	Resistant	Vitek
Escherichia coli strain M13	562.42767	meropenem	<=	0.25	mg/L	Susceptible	Vitek
Escherichia coli strain M14	562.42768	amikacin	==	8	mg/L	Susceptible	Vitek
Escherichia coli strain M14	562.42768	ampicillin	>=	32	mg/L	Resistant	Vitek
Escherichia coli strain M14	562.42768	cefepime	==	8	mg/L	Intermediate	Vitek
Escherichia coli strain M14	562.42768	ceftriaxone	>=	64	mg/L	Resistant	Vitek
Escherichia coli strain M14	562.42768	ciprofloxacin	>=	4	mg/L	Resistant	Vitek
Escherichia coli strain M14	562.42768	ertapenem	<=	0.5	mg/L	Susceptible	Vitek
Escherichia coli strain M14	562.42768	gentamicin	>=	16	mg/L	Resistant	Vitek
Escherichia coli strain M14	562.42768	levofloxacin	>=	8	mg/L	Resistant	Vitek
Escherichia coli strain M15	562.42769	ampicillin	>=	32	mg/L	Resistant	Vitek
Escherichia coli strain M15	562.42769	aztreonam	==	16	mg/L	Resistant	Vitek
Escherichia coli strain M15	562.42769	cefepime	==	4	mg/L	Intermediate	Vitek
